session_id,customer_id,station_id,session_start_time,kwh_charged,cost_per_kwh,total_cost
S00001,C0001,109,2024-09-27 00:31:00,33.519778,13.5,452.517003
S00002,C0001,68,2024-08-13 08:49:00,24.455024,18.0,440.190432
S00003,C0001,51,2024-10-07 19:50:00,30.941058,22.5,696.173805
S00004,C0001,50,2024-11-02 17:25:00,18.006992,18.0,324.125856
S00005,C0001,88,2024-08-29 00:14:00,36.45276,22.5,820.1871
S00006,C0001,181,2024-09-12 12:29:00,30.004816,18.0,540.086688
S00007,C0001,186,2024-09-27 19:29:00,21.229082,13.5,286.592607
S00008,C0001,41,2024-10-03 22:15:00,33.458149,22.5,752.808352
S00009,C0001,51,2024-10-31 20:18:00,38.612,22.5,868.77
S00010,C0002,151,2024-08-17 10:58:00,24.904742,18.0,448.285356
S00011,C0002,155,2024-11-02 19:04:00,28.843834,13.5,389.391759
S00012,C0002,108,2024-09-25 18:35:00,27.168469,18.0,489.032442
S00013,C0002,189,2024-08-16 21:55:00,25.763807,22.5,579.685658
S00014,C0002,189,2024-08-19 10:12:00,25.184408,22.5,566.64918
S00015,C0002,115,2024-10-14 06:06:00,26.44448,13.5,357.00048
S00016,C0002,51,2024-10-21 09:01:00,26.741907,22.5,601.692908
S00017,C0002,72,2024-10-30 13:01:00,28.039451,22.5,630.887647
S00018,C0002,182,2024-10-01 10:39:00,27.640078,18.0,497.521404
S00019,C0002,185,2024-09-24 14:18:00,34.186441,13.5,461.516953
S00020,C0002,151,2024-08-17 17:37:00,33.69532,18.0,606.51576
S00021,C0002,40,2024-10-06 17:27:00,21.565747,13.5,291.137585
S00022,C0002,12,2024-11-04 17:46:00,26.735253,18.0,481.234554
S00023,C0003,197,2024-08-19 23:09:00,16.954,18.0,305.172
S00024,C0003,152,2024-09-22 15:28:00,16.954,18.0,305.172
S00025,C0003,93,2024-08-29 05:58:00,16.954,22.5,381.465
S00026,C0003,68,2024-08-22 14:17:00,16.954,18.0,305.172
S00027,C0003,157,2024-09-08 01:19:00,16.954,22.5,381.465
S00028,C0003,7,2024-08-28 07:36:00,16.954,18.0,305.172
S00029,C0003,63,2024-10-03 17:56:00,16.954,13.5,228.879
S00030,C0003,56,2024-10-04 13:16:00,16.954,18.0,305.172
S00031,C0003,71,2024-08-11 23:10:00,16.954,13.5,228.879
S00032,C0003,12,2024-09-13 16:50:00,16.954,18.0,305.172
S00033,C0003,24,2024-09-08 12:10:00,16.954,13.5,228.879
S00034,C0003,196,2024-08-25 03:29:00,16.954,13.5,228.879
S00035,C0003,140,2024-10-28 16:23:00,16.954,18.0,305.172
S00036,C0004,188,2024-09-13 14:35:00,28.029911,18.0,504.538398
S00037,C0004,138,2024-10-30 15:33:00,29.508658,18.0,531.155844
S00038,C0004,56,2024-11-04 15:45:00,28.216229,18.0,507.892122
S00039,C0004,97,2024-10-26 17:15:00,27.052788,18.0,486.950184
S00040,C0004,75,2024-08-13 11:17:00,26.106259,13.5,352.434497
S00041,C0004,138,2024-10-15 09:46:00,29.051521,18.0,522.927378
S00042,C0004,164,2024-08-17 22:19:00,34.3,13.5,463.05
S00043,C0004,89,2024-08-24 18:35:00,33.430334,13.5,451.309509
S00044,C0004,75,2024-09-08 19:15:00,21.314501,13.5,287.745764
S00045,C0004,186,2024-08-30 20:44:00,27.639678,13.5,373.135653
S00046,C0004,197,2024-09-26 11:25:00,26.489138,18.0,476.804484
S00047,C0005,168,2024-10-22 10:05:00,21.407223,22.5,481.662517
S00048,C0005,88,2024-08-31 14:59:00,28.616,22.5,643.86
S00049,C0005,24,2024-09-20 21:03:00,28.616,13.5,386.316
S00050,C0005,180,2024-10-01 18:09:00,28.616,18.0,515.088
S00051,C0005,168,2024-10-10 23:21:00,28.162888,22.5,633.66498
S00052,C0005,151,2024-08-26 09:31:00,25.731034,18.0,463.158612
S00053,C0005,190,2024-09-30 14:25:00,25.198839,18.0,453.579102
S00054,C0005,180,2024-09-10 09:39:00,27.516251,18.0,495.292518
S00055,C0005,58,2024-09-23 06:20:00,28.616,13.5,386.316
S00056,C0005,152,2024-08-21 04:05:00,28.616,18.0,515.088
S00057,C0005,7,2024-08-30 13:31:00,28.616,18.0,515.088
S00058,C0005,27,2024-11-01 06:03:00,23.363802,22.5,525.685545
S00059,C0005,2,2024-10-10 07:08:00,28.616,18.0,515.088
S00060,C0005,108,2024-09-26 15:58:00,26.236452,18.0,472.256136
S00061,C0006,144,2024-11-04 13:02:00,19.401999,18.0,349.235982
S00062,C0006,58,2024-09-19 10:02:00,19.6,13.5,264.6
S00063,C0006,26,2024-08-16 14:52:00,19.6,18.0,352.8
S00064,C0006,63,2024-09-01 19:52:00,13.169582,13.5,177.789357
S00065,C0006,190,2024-08-24 09:18:00,19.6,18.0,352.8
S00066,C0006,25,2024-10-28 09:04:00,9.546597,13.5,128.87906
S00067,C0006,186,2024-10-27 19:10:00,8.480323,13.5,114.484361
S00068,C0006,29,2024-10-13 14:44:00,17.003798,18.0,306.068364
S00069,C0006,98,2024-08-15 11:21:00,19.6,22.5,441.0
S00070,C0006,57,2024-11-07 12:28:00,19.392787,18.0,349.070166
S00071,C0006,144,2024-10-15 09:41:00,19.6,18.0,352.8
S00072,C0006,164,2024-10-03 18:15:00,18.437308,13.5,248.903658
S00073,C0006,115,2024-11-04 10:15:00,17.572565,13.5,237.229628
S00074,C0006,186,2024-08-30 16:02:00,19.6,13.5,264.6
S00075,C0006,26,2024-08-18 14:07:00,16.503469,18.0,297.062442
S00076,C0006,51,2024-08-24 23:08:00,19.554993,22.5,439.987343
S00077,C0007,56,2024-08-20 09:21:00,11.76,18.0,211.68
S00078,C0007,118,2024-10-24 08:30:00,11.76,13.5,158.76
S00079,C0007,180,2024-10-02 04:41:00,11.76,18.0,211.68
S00080,C0007,109,2024-09-06 19:41:00,11.76,13.5,158.76
S00081,C0007,12,2024-09-26 06:12:00,11.76,18.0,211.68
S00082,C0007,142,2024-08-19 01:53:00,11.76,13.5,158.76
S00083,C0007,89,2024-09-29 07:31:00,11.76,13.5,158.76
S00084,C0007,186,2024-11-03 22:50:00,11.76,13.5,158.76
S00085,C0007,130,2024-10-07 05:20:00,11.76,22.5,264.6
S00086,C0007,174,2024-11-03 09:58:00,11.76,18.0,211.68
S00087,C0007,60,2024-08-11 19:10:00,11.76,18.0,211.68
S00088,C0007,89,2024-10-03 03:56:00,11.76,13.5,158.76
S00089,C0007,138,2024-08-29 01:08:00,11.76,18.0,211.68
